ID,rodada,data,hora,dia,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,arena,mandante_placar,visitante_placar,mandante_estado,visitante_estado,estado_vencedor
7266,1,2021-05-29,19:00,Sabado,Cuiaba,Juventude,4-3-3,4-2-3-1,E. de Barros,E. de Barros,-,arena pantanal,2,2,MT,RS,-
7267,1,2021-05-29,20:00,Sabado,Bahia,Santos,4-3-3,4-3-3,F. Diniz Silva,F. Diniz Silva,Bahia,estadio de pituacu,3,0,BA,SP,BA
7268,1,2021-05-29,21:00,Sabado,Sao Paulo,Fluminense,3-5-2,4-2-3-1,R. Machado Marques,R. Machado Marques,-,morumbi,0,0,SP,RJ,-
7269,1,2021-05-30,11:01,Domingo,Atletico-MG,Fortaleza,4-2-3-1,3-5-2,J. Vojvoda,J. Vojvoda,Fortaleza,mineirao,1,2,MG,CE,CE
7270,1,2021-05-30,16:00,Domingo,Flamengo,Palmeiras,4-2-3-1,3-5-2,A. Moreira Ferreira,A. Moreira Ferreira,Flamengo,maracana,1,0,RJ,SP,RJ
7271,1,2021-05-30,15:59,Domingo,Ceara,Gremio,4-2-3-1,4-3-3,T. Retzalff Nunes,T. Retzalff Nunes,Ceara,arena castelao,3,2,CE,RS,CE
7272,1,2021-05-30,18:15,Domingo,Corinthians,Atletico-GO,4-2-3-1,4-2-3-1,E. de Souza Barroca,E. de Souza Barroca,Atletico-GO,neo quimica arena,0,1,SP,GO,GO
7273,1,2021-05-30,18:14,Domingo,Chapecoense,Bragantino,4-3-2-1,4-2-3-1,M. Nogueira Barbieri,M. Nogueira Barbieri,Bragantino,arena conda,0,3,SC,SP,SP
7274,1,2021-05-30,18:16,Domingo,Athletico-PR,America-MG,4-2-3-1,4-1-4-1,L. Cirne Lima de Lorenzi,L. Cirne Lima de Lorenzi,Athletico-PR,estadio joaquim americo guimaraes,1,0,PR,MG,PR
7275,1,2021-05-30,20:30,Domingo,Internacional,Sport,4-3-3,4-2-3-1,U. Louzer Filho,U. Louzer Filho,-,estadio jose pinheiro borda,2,2,RS,PE,-
7276,2,2021-06-05,19:00,Sabado,Atletico-GO,Sao Paulo,4-2-3-1,3-5-2,J. Branda,J. Branda,Atletico-GO,estadio antonio accioly,2,0,GO,SP,GO
7277,2,2021-06-05,20:59,Sabado,Santos,Ceara,4-2-3-1,4-4-2,A. Ferreira,A. Ferreira,Santos,estadio urbano caldeira,3,1,SP,CE,SP
7278,2,2021-06-05,20:59,Sabado,Bragantino,Bahia,4-4-2,4-3-3,L. Cavalcanti,L. Cavalcanti,-,nabizao,3,3,SP,BA,-
